,accuracy_score,average_precision_score,f1_score,fn,fp,name,roc_auc_score,tn,tp
0,0.9439983314214204,0.41119721898858036,0.41053787047200874,493,44,KNeighborsRegressor-leaf_size60n_jobs-1n_neighbors15weightsdistance--tfidf,0.7252028682165425,8865,187
0,0.9371154447804776,0.33280247617367087,0.20762155059132723,601,2,KNeighborsRegressor-leaf_size60n_jobs-1n_neighbors20weightsuniform--tfidf,0.7198016876522749,8907,79
0,0.9441026175826468,0.41006973136600244,0.40707964601769914,496,40,KNeighborsRegressor-leaf_size60n_jobs-1n_neighbors20weightsdistance--tfidf,0.7250314453989025,8869,184
0,0.9353425800396288,0.27675572463682335,0.16666666666666666,618,2,KNeighborsRegressor-leaf_size60n_jobs-1n_neighbors25weightsuniform--tfidf,0.7194367229437516,8907,62
0,0.9439983314214204,0.43317571683815453,0.4039955604883463,498,39,KNeighborsRegressor-leaf_size60n_jobs-1n_neighbors25weightsdistance--tfidf,0.7952450595234166,8870,182
0,0.9349254353947232,0.23784825191981127,0.15675675675675677,622,2,KNeighborsRegressor-leaf_size60n_jobs-1n_neighbors30weightsuniform--tfidf,0.6960334229100777,8907,58
0,0.9439983314214204,0.4435097201988519,0.4039955604883463,498,39,KNeighborsRegressor-leaf_size60n_jobs-1n_neighbors30weightsdistance--tfidf,0.7923535684337715,8870,182
0,0.8824694962978413,0.5560565208243243,0.4620525059665871,196,931,SVR-C1epsilon0.1gamma0.001kernelrbf--tfidf,0.9117120492826157,7978,484
0,0.8822609239753885,0.55601289061966,0.4616118264186934,196,933,SVR-C1epsilon0.1gamma0.0001kernelrbf--tfidf,0.9116938918344305,7976,484
0,0.8824694962978413,0.5560565208243243,0.4620525059665871,196,931,SVR-C1epsilon0.01gamma0.001kernelrbf--tfidf,0.9117120492826157,7978,484
0,0.8822609239753885,0.55601289061966,0.4616118264186934,196,933,SVR-C1epsilon0.01gamma0.0001kernelrbf--tfidf,0.9116938918344305,7976,484
0,0.8824694962978413,0.5560565208243243,0.4620525059665871,196,931,SVR-C1epsilon0.001gamma0.001kernelrbf--tfidf,0.9117120492826157,7978,484
0,0.8822609239753885,0.55601289061966,0.4616118264186934,196,933,SVR-C1epsilon0.001gamma0.0001kernelrbf--tfidf,0.9116938918344305,7976,484
0,0.8824694962978413,0.5560565208243243,0.4620525059665871,196,931,SVR-C1epsilon0.0001gamma0.001kernelrbf--tfidf,0.9117120492826157,7978,484
0,0.8822609239753885,0.55601289061966,0.4616118264186934,196,933,SVR-C1epsilon0.0001gamma0.0001kernelrbf--tfidf,0.9116938918344305,7976,484
0,0.9049953071227448,0.5799037090699304,0.5035422343324251,218,693,SVR-C10epsilon0.1gamma0.001kernelrbf--tfidf,0.9202090747624676,8216,462
0,0.8822609239753885,0.55601289061966,0.4616118264186934,196,933,SVR-C10epsilon0.1gamma0.0001kernelrbf--tfidf,0.9116938918344305,7976,484
0,0.9095838982167066,0.5802496752257302,0.5109983079526227,227,640,SVR-C10epsilon0.01gamma0.001kernelrbf--tfidf,0.9186538067915458,8269,453
0,0.8822609239753885,0.55601289061966,0.4616118264186934,196,933,SVR-C10epsilon0.01gamma0.0001kernelrbf--tfidf,0.9116938918344305,7976,484
0,0.9089581812493482,0.5795824091882108,0.5103757711721818,225,648,SVR-C10epsilon0.001gamma0.001kernelrbf--tfidf,0.9183834258812965,8261,455
0,0.8822609239753885,0.55601289061966,0.4616118264186934,196,933,SVR-C10epsilon0.001gamma0.0001kernelrbf--tfidf,0.9116938918344305,7976,484
0,0.9088538950881218,0.5795038068006275,0.5100896860986547,225,649,SVR-C10epsilon0.0001gamma0.001kernelrbf--tfidf,0.9183477712557692,8260,455
0,0.8822609239753885,0.55601289061966,0.4616118264186934,196,933,SVR-C10epsilon0.0001gamma0.0001kernelrbf--tfidf,0.9116938918344305,7976,484
0,0.8725623109813327,0.578380294755482,0.4741824440619622,129,1093,SVR-C100epsilon0.1gamma0.001kernelrbf--tfidf,0.9227724937769475,7816,551
0,0.9049953071227448,0.5798782292040423,0.5035422343324251,218,693,SVR-C100epsilon0.1gamma0.0001kernelrbf--tfidf,0.9202094048978892,8216,462
0,0.8812180623631244,0.5772587346413112,0.48344671201814055,147,992,SVR-C100epsilon0.01gamma0.001kernelrbf--tfidf,0.9181972295035423,7917,533
0,0.9095838982167066,0.5801130927510623,0.5109983079526227,227,640,SVR-C100epsilon0.01gamma0.0001kernelrbf--tfidf,0.9186432424580563,8269,453
0,0.881113776201898,0.5767956932158049,0.4827586206896552,148,992,SVR-C100epsilon0.001gamma0.001kernelrbf--tfidf,0.9176899764283308,7917,532
0,0.9089581812493482,0.5795865029487841,0.5103757711721818,225,648,SVR-C100epsilon0.001gamma0.0001kernelrbf--tfidf,0.9183908539282813,8261,455
0,0.8815309208468036,0.5771898451173598,0.48363636363636364,148,988,SVR-C100epsilon0.0001gamma0.001kernelrbf--tfidf,0.917653166328828,7921,532
0,0.9088538950881218,0.5796569048964191,0.5100896860986547,225,649,SVR-C100epsilon0.0001gamma0.0001kernelrbf--tfidf,0.9183731916832285,8260,455
0,0.8007091458963396,0.41030463166589104,0.367008943358728,126,1785,SVR-C1000epsilon0.1gamma0.001kernelrbf--tfidf,0.8847926419417245,7124,554
0,0.87235373865888,0.5782303966724333,0.47332185886402756,130,1094,SVR-C1000epsilon0.1gamma0.0001kernelrbf--tfidf,0.9227497144328602,7815,550
0,0.8010220043800188,0.37088251340905665,0.36737400530503983,126,1782,SVR-C1000epsilon0.01gamma0.001kernelrbf--tfidf,0.8774103187127359,7127,554
0,0.8813223485243509,0.5772746439959755,0.48366606170598914,147,991,SVR-C1000epsilon0.01gamma0.0001kernelrbf--tfidf,0.9181562927112702,7918,533
