,accuracy_score,average_precision_score,f1_score,fn,fp,name,roc_auc_score,tn,tp
0,0.7494815429282455,0.7381783588008738,0.6801976703141546,523,1289,BernoulliNB-alpha0.4binarizeNonefit_priorFalse--tfidf-ngram,0.8404448578511479,3494,1927
0,0.7522466473109359,0.7532041186302566,0.6871508379888268,482,1310,BernoulliNB-alpha0.6000000000000001binarizeNonefit_priorTrue--tfidf-ngram,0.8497599491395973,3473,1968
0,0.7522466473109359,0.7532041186302566,0.6871508379888268,482,1310,BernoulliNB-alpha0.6000000000000001binarizeNonefit_priorFalse--tfidf-ngram,0.8497599491395973,3473,1968
0,0.7544587308170884,0.7631601054921846,0.6929460580912863,446,1330,BernoulliNB-alpha0.8binarizeNonefit_priorTrue--tfidf-ngram,0.8562007023173057,3453,2004
0,0.7544587308170884,0.7631601054921846,0.6929460580912863,446,1330,BernoulliNB-alpha0.8binarizeNonefit_priorFalse--tfidf-ngram,0.8562007023173057,3453,2004
0,0.7778238628508226,0.7838336730913679,0.7069122743023892,512,1095,MLPClassifier-activationlogisticalpha0.001hidden_layer_sizes(10)--tfidf-ngram,0.8691897750109869,3688,1938
0,0.7692520392644823,0.772389688588121,0.6975901431418736,525,1144,MLPClassifier-activationlogisticalpha0.001hidden_layer_sizes(1010)--tfidf-ngram,0.8616564618738987,3639,1925
0,0.7862574312180285,0.7858324559373935,0.7073078379401742,582,964,MLPClassifier-activationlogisticalpha0.001hidden_layer_sizes(101010)--tfidf-ngram,0.87009903271365,3819,1868
0,0.7670399557583298,0.7718645061725922,0.6952432627961657,528,1157,MLPClassifier-activationlogisticalpha0.001hidden_layer_sizes(50)--tfidf-ngram,0.8609465496422278,3626,1922
0,0.7522466473109359,0.7482726364395896,0.6750090678273486,589,1203,MLPClassifier-activationlogisticalpha0.001hidden_layer_sizes(5020)--tfidf-ngram,0.8450154671946135,3580,1861
0,0.7635835752799668,0.766468858953544,0.6908893709327548,539,1171,MLPClassifier-activationlogisticalpha0.001hidden_layer_sizes(100)--tfidf-ngram,0.8574077408508878,3612,1911
0,0.7533526890640122,0.7511905674519662,0.6763425253991292,586,1198,MLPClassifier-activationlogisticalpha0.001hidden_layer_sizes(10050)--tfidf-ngram,0.846760849436994,3585,1864
0,0.5509470482510714,0.4820186117028084,0.5443322109988776,510,2738,ComplementNB-alpha0.0fit_priorTruenormTrue--tfidf-ngram,0.6696589963604092,2045,1940
0,0.6958385179040508,0.5106494269385027,0.5901639344262294,866,1334,ComplementNB-alpha0.0fit_priorTruenormFalse--tfidf-ngram,0.6937816757478656,3449,1584
0,0.5509470482510714,0.4820186117028084,0.5443322109988776,510,2738,ComplementNB-alpha0.0fit_priorFalsenormTrue--tfidf-ngram,0.6696589963604092,2045,1940
0,0.6958385179040508,0.5106494269385027,0.5901639344262294,866,1334,ComplementNB-alpha0.0fit_priorFalsenormFalse--tfidf-ngram,0.6937816757478656,3449,1584
0,0.7317848748790267,0.703145293855837,0.6665520797524923,511,1429,ComplementNB-alpha0.2fit_priorTruenormTrue--tfidf-ngram,0.8217366352771507,3354,1939
0,0.7420157610949814,0.7070901894792181,0.6655913978494624,593,1273,ComplementNB-alpha0.2fit_priorTruenormFalse--tfidf-ngram,0.8230829852325626,3510,1857
0,0.7317848748790267,0.703145293855837,0.6665520797524923,511,1429,ComplementNB-alpha0.2fit_priorFalsenormTrue--tfidf-ngram,0.8217366352771507,3354,1939
0,0.7420157610949814,0.7070901894792181,0.6655913978494624,593,1273,ComplementNB-alpha0.2fit_priorFalsenormFalse--tfidf-ngram,0.8230829852325626,3510,1857
0,0.7485137563943038,0.7319651079555048,0.679132122067384,525,1294,ComplementNB-alpha0.4fit_priorTruenormTrue--tfidf-ngram,0.8384158605947083,3489,1925
