sent,CompoundPol
2014-12-31,0.15753125
2015-01-01,0.2789170568561873
2015-01-02,0.23381463664278404
2015-01-03,0.22043276327632763
2015-01-04,0.2198151202749141
2015-01-05,0.23625228604923798
2015-01-06,0.20389925501432662
2015-01-07,0.20678610909090908
2015-01-08,0.19262166287755764
2015-01-09,0.2008398596491228
2015-01-10,0.2255199581297976
2015-01-11,0.19434397098821396
2015-01-12,0.2132799272727273
2015-01-13,0.17959839650145773
2015-01-14,0.18107507755946226
2015-01-15,0.20252004545454547
2015-01-16,0.1656759040590406
2015-01-17,0.2117199559794571
2015-01-18,0.18265568360398116
2015-01-19,0.2113340524781341
2015-01-20,0.17518547664747283
2015-01-21,0.1745342287029931
2015-01-22,0.22191052955665025
2015-01-23,0.2299487704918033
2015-01-24,0.1939247631935047
2015-01-25,0.21024364454443195
2015-01-26,0.20735706436420726
2015-01-27,0.23236785046728972
2015-01-28,0.19618225315354504
2015-01-29,0.21267311207311207
2015-01-30,0.1797510887772194
2015-01-31,0.19067298091042584
2015-02-01,0.19940126939351197
2015-02-02,0.21400967379077618
2015-02-03,0.18055725856697818
2015-02-04,0.20232749313815188
2015-02-05,0.16198052041922661
2015-02-06,0.16309290780141844
2015-02-07,0.16777037582903465
2015-02-08,0.15077364217252395
2015-02-09,0.17854973482616382
2015-02-10,0.18033745644599306
2015-02-11,0.17494939618231398
2015-02-12,0.1634730434782609
2015-02-13,0.17502905866302865
2015-02-14,0.15608650865998178
2015-02-15,0.15891981481481482
2015-02-16,0.1907289889415482
2015-02-17,0.14721380552220886
2015-02-18,0.15677583474816073
2015-02-19,0.1757502771618625
2015-02-20,0.17456807718348002
2015-02-21,0.17063255459624174
2015-02-22,0.18617335164835166
2015-02-23,0.17348564593301435
2015-02-24,0.16299498567335244
2015-02-25,0.13270138969310943
2015-02-26,0.14855953654188947
2015-02-27,0.13926576040781646
2015-02-28,0.19136582677165356
2015-03-01,0.1594515819750719
2015-03-02,0.16905085403726708
2015-03-03,0.167234940652819
2015-03-04,0.18360201949860722
2015-03-05,0.17023492894540015
2015-03-06,0.1920096413874192
2015-03-07,0.1773093023255814
2015-03-08,0.14728
2015-03-09,0.18106003898635475
2015-03-10,0.18342643845593593
2015-03-11,0.19993372992266506
2015-03-12,0.1800837837837838
2015-03-13,0.19459263157894738
2015-03-14,0.16303963463065924
2015-03-15,0.17926698488464599
2015-03-16,0.2020487103905674
2015-03-17,0.16041302037201063
2015-03-18,0.19023099861303747
2015-03-19,0.16263773717498245
2015-03-20,0.1953190706679574
2015-03-21,0.18128780487804877
2015-03-22,0.16449284833538838
2015-03-23,0.1707744204636291
2015-03-24,0.15620112881806109
2015-03-25,0.20405133333333333
2015-03-26,0.18891596153846155
2015-03-27,0.18274462320067741
2015-03-28,0.19085828065739568
2015-03-29,0.17661413793103448
2015-03-30,0.20830324858757063
2015-03-31,0.17312972258916778
2015-04-01,0.17674920634920635
2015-04-02,0.24105706580366776
2015-04-03,0.18129359457422758
2015-04-04,0.15024996389891698
2015-04-05,0.17817798475867908
2015-04-06,0.20730988023952096
2015-04-07,0.17240203086921202
2015-04-08,0.21584139072847683
2015-04-09,0.18615438388625594
